Sentiment,Processed_Text
positive,geosolutions technology leverage benefon 's gps solutions providing location based search technology communities platform location relevant multimedia content new powerful commercial model
negative,esi lows 1.50 2.50 bk real possibility
positive,last quarter 2010 componenta 's net sales doubled eur131m eur76m period year earlier moved zero pre-tax profit pre-tax loss eur7m
neutral,according finnish-russian chamber commerce major construction companies finland operating russia
neutral,swedish buyout firm sold remaining 22.4 percent stake almost eighteen months taking company public finland
positive,spy would n't surprised see green close
negative,shell 's 70 billion bg deal meets shareholder skepticism
negative,ssh communications security corp stock exchange release october 14 2008 2:45 pm company updates full year outlook estimates results remain loss full year
positive,kone 's net sales rose 14 year-on-year first nine months 2008
neutral,"stockmann department store total floor space 8,000 square metres stockmann 's investment project price tag eur 12 million"
positive,circulation revenue increased 5 finland 4 sweden 2008
negative,sap q1 disappoints software licenses real problem cloud growth trails msft orcl goog crm adbe https //t.co/jndphllzq5
positive,subdivision made sales revenues last year eur 480.7 million eur 414.9 million 2008 operating profits eur 44.5 million eur 7.4 million
neutral,viking line canceled services
neutral,"ahlstrom corporation stock exchange announcement 7.2.2007 10.30 total 56,955 new shares ahlstrom corporation subscribed option rights company 's stock option programs 2001 ii 2001"
positive,fb gone green day
positive,msft sql server revenue grew double-digit sql server premium revenue growing 30 http //stks.co/ir2f
neutral,according l+ñnnen tehtaat 's ceo matti karppinen company aims deliver fish products customers day earlier currently
neutral,company 's share quoted nasdaq omx helsinki rautaruukki oyj rtrks
neutral,elcoteq se listed nasdaq omx helsinki ltd.
neutral,two contracts turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer
positive,aviva friends life top forecasts ahead 5.6 billion pound merger
neutral,stead based soft drink usual teho energy drink made fresh water
neutral,company plans increase unit 's specialist staff several dozen -- depending market situation 2010
neutral,company closed last year turnover four million euros
positive,shire ceo steps drive get baxalta board talking
positive,costco premier retail dividend play https //t.co/fa5cnh2t0t cost
neutral,"five-storey eco-efficient building gross floor area 15,000 sq m. also include apartments"
neutral,first installment cinema series concludes profile finnish inventor olavi linden whose personal artistic journey work fiskars led dozens design awards
neutral,welcome
positive,stockmann swedish sector company ab lindex entered agreement september 30 2007 whereby stockmann wholly-owned subsidiary make public tender offer lindex 's issued shares
neutral,huhtamaki oyj stock exchange release 16.9.2008 13.32 huhtamaki 's capital markets day institutional investors analysts held espoo september 16 2008 starting 13.30 pm finnish time
positive,`` pleased welcome tapeks noma cramo group
neutral,profit taxes eur 105.9 82.7 million
positive,royal dutch shell buy bg group nearly 70 billion
neutral,financialwire tm press release service receives compensation news opinions distributions
neutral,assa abloy kaupthing bank gave neutral recommendation share price target 174 crowns 24.7 19 euro swedish lock maker assa abloy ab
positive,item included restructuring costs eur1 .6 year earlier eur13 .1 m. diluted eps stood eur0 .3 versus loss per share eur 0.1
neutral,2005 bank posted net profit lt 8.2 mn
negative,aapl afternoon selloff usual brutal get ready lose ton money
negative,tsla recalling pretty much every single model x cnnbrk got short even work jump money trade
negative,dolce gabbana asked european union declare marimekko corporation 's `` unikko `` floral pattern trademark invalid continuing dispute two companies
negative,intercontinental hotels first-quarter global room revenue lags estimates
positive,according finnish pension insurance company varma varma recipient two thirds revenue earnings-related pension cover competitive tendering finland
positive,portion 12.5 million recorded part winnings prior patent dispute finnish phone maker nokia oyj
negative,l g still paying price dividend cut crisis chief says
neutral,volume investments two phases project estimated usd 300mn eur 215.03 mn
neutral,russia accounted 9 lagardere magazine division 's revenue eur 114.40 mn usd 148.11 mn 2009 usa 18
positive,company also estimates already carried investments lead increase net sales 2010 2009 reached eur 141.7 million
neutral,profit accounting period eur 0.3 mn
positive,six breweries recorded 5.2 percent growth domestic beer sales last year 270.21 million liters 256.88 million liters sold 2005
positive,august-october 2010 company 's result taxes totalled eur 9.6 mn eur 0.5 mn corresponding period 2009
positive,systeemitiimi 's sales project resources also strengthened director paul skogberg said
positive,tesco share price jumps q3 sales top estimates
neutral,fine print
positive,price logs clearly improved 2009 also price pulpwood gone
neutral,thus sysopen digia accordance chapter 14 section 21 finnish companies act 29.9.1978 734 obtained title shares sentera redeemed
neutral,diluted earnings per share eps fell eur 0.63 eur 1.71
neutral,"3:37 p.m. eastern time block 2,400 contracts changed hands bid price 0.45"
neutral,recent technology deliveries include refinery technology anrak aluminium iron ore pelletizing plant tata steel iron ore sintering plants bhushan steel
positive,vips similar pattern like beginning may u sell .. go much higher drop
neutral,firm generated sales 187 mln eur 2005
neutral,stora enso also meetings labor authorities employment economic development centres representatives government order find solutions
negative,astrazeneca profit sales stalwarts fade
positive,rt andrewnyquist chartology yahoo http //stks.co/1itr yhoo crazy looking chart nearing breakout resistance line ...
positive,bullish stocks twitter dip yhoo gdx googl stz gold ew vz celg sbux scty https //t.co/iuzjelfwt3
negative,"finnish geosentric 's net sales decreased eur 939,000 january-march 2009"
neutral,cohen steers inc. 5 534 626 shares representing 4.985 share capital voting rights
positive,staff recruited japan complement network close 50 service locations 20 countries worldwide
neutral,paper companies negative territories stora enso r shedding 1.62 pct 12.73 eur upm-kymmene 0.80 pct 18.64 eur m-real b 0.18 pct lower 5.57 eur
neutral,kauko-telko 's centralized administration dissolved appropriate parts transferred operating activities group administration end year
neutral,operating profit quarter april-june 2006 amounted eur182 .2 sales eur3 .62 bn
neutral,atria chose delight attract consumers 25-45 age group atria fresh range microwaveable meals
neutral,"finnish solutions provider affecto oyj hel afe1v said today slipped net loss eur 115,000 usd 152,000 second quarter 2010 profit eur 845,000 corresponding period year earlier"
negative,us sanctions put gazprom-shell alliance plans jeopardy
neutral,profit period eur 10.9 mn eur 14.3 mn 2009
positive,profit period eur 5.9 mn eur 1.3 mn
neutral,operating profit fell eur 20.3 mn eur 74.2 mn second quarter 2008
positive,however sales returned growth april-june 2010 ceo pekka eloholma said
neutral,operating profit totaled eur 18.6 mn 8.3 net sales
negative,changes market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant according company
neutral,connection deal digia employ 19 persons nokia oslo silicon valley usa
positive,"brazilian unit finnish security solutions provider f-secure signed 1,500 new clients last year online news source reseller web quoted division 's commercial director vladimir brand+úo saying"
neutral,fair value company 's investment properties went eur 2.768 billion end 2009 eur 2.916 billion year earlier
negative,dealers said share largely hit investor disappointment refining margin 9.48 usd per barrel quarter performance shipping unit saw ebit drop 5 mln eur 20 mln eur year amid fall volumes tanker rates
neutral,testament quality lte solution commitment japanese market added
neutral,companies aim finalize negotiations sign contracts start october 2008
neutral,metso foundries jyvaskyla oy discontinue production line 30 september 2008 company said
neutral,total six polled analysts rated m-real -- two gave `` buy `` `` accumulate `` three gave `` hold `` one gave `` sell ``
positive,september 2010 finnish group agreed buy danish company rose poultry a-s eur23 .9 combination cash stock
positive,yang double bottom 5.2
negative,tesco share price grocer faces sfo investigation outcome
positive,aapl news becoming bullish http //stks.co/tmu
neutral,gs engineering install valves liquefied natural gas lng plant built uae lng extraction gas plants operator gasco ruwais uae
neutral,percentages shares voting rights calculated proportion total number shares registered trade register total number voting rights related
neutral,m-real said grounds rumors circulating market months
neutral,lember said matter topical also estonia bill drafted social affairs ministry would scrap old-age pensions favorable conditions
neutral,moody 's said gave p a1 long-term senior unsecured p p-1 short-term debt ratings finnish lender aktia bank 's eur1bn usd1 .4 bn euro medium-term note emtn program 25 march 2011
negative,tsla recall
neutral,liquidity providing interrupted may 11 2007 aspocomp group oyj 's shares traded 0.50 cent aspocomp 's stock exchange release 11.5.2007
positive,hargreaves lansdown bucks weak markets see assets rise 2.6 percent
negative,"12.59 pm omx helsinki 25 index 0.32 pct lower 2,694.81"
neutral,decision means temporary lay-offs fixed duration company 's nastola jyvaskyla units southern central finland respectively
neutral,value orders eur 10mn
neutral,ms laakso responsible hkscan 's hr functions development group smarket areas
neutral,fiskars also engaged global supply marine energy equipment solutions services associated company wartsila corporation
positive,aberdeen asset management gains foothold china
neutral,finland 's dominating rail company vr planning set infected passengers long-distance trip separate carriage
neutral,november finnish government decreased ownership company 31.1 percent 38 percent
neutral,finnish exel composites technology company designs manufactures markets composite profiles tubes various industrial applications reports net sales decreased 0.6 second quarter 2010 eur 19.2 mn eur 19.3 mn corresponding period 2009
neutral,bavelloni 's nst 's joint ventures bavelloni tools completes semiproducts produced italy high-quality tools sold diapol brand
neutral,tool patent pending design allows consumers lay entire project removable plate using multiple clear stamps kind
negative,googl short 740 upper bb overbought
